Title,Worldwide
Rhinestone,"$21,435,321"
Weekend Pass,"$21,058,033"
Top Secret!,"$20,458,340"
Hot Dog... The Movie,"$20,307,325"
The NeverEnding Story,"$20,158,808"
Unfaithfully Yours,"$19,928,200"
Best Defense,"$19,265,302"
Blame It on Rio,"$18,644,570"
Lassiter,"$17,513,452"
Angel,"$17,488,564"
Johnny Dangerously,"$17,124,395"
Firestarter,"$17,080,167"
Beat Street,"$16,595,791"
Breakin' 2: Electric Boogaloo,"$15,101,131"
Children of the Corn,"$14,568,989"
Night of the Comet,"$14,418,922"
Supergirl,"$14,296,438"
The Ice Pirates,"$14,255,801"
The Evil That Men Do,"$13,102,025"
Irreconcilable Differences,"$12,414,210"
Dreamscape,"$12,145,169"
Up the Creek,"$11,708,269"
The River,"$11,489,982"
Tank,"$11,302,884"
Falling in Love,"$11,129,057"
Hard to Hold,"$11,113,806"
The Wild Life,"$11,020,375"
Broadway Danny Rose,"$10,600,497"
Where the Boys Are,"$10,530,000"
Thief of Hearts,"$10,435,015"
Terror in the Aisles,"$10,004,817"
Cloak and Dagger,"$9,719,952"
Country,"$9,640,000"
Bolero,"$8,914,881"
Body Double,"$8,801,940"
Oxford Blues,"$8,793,152"
The Bounty,"$8,613,462"
1984,"$8,430,492"
Reckless,"$8,289,916"
The Philadelphia Experiment,"$8,103,330"
Streets of Fire,"$8,089,290"
Just the Way You Are,"$7,889,694"
The Little Drummer Girl,"$7,828,841"
Ninja III: The Domination,"$7,610,785"
Iceman,"$7,343,032"
Hardbodies,"$7,121,719"
Alphabet City,"$7,035,585"
